sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
129,256,-0.6381836,-0.13378906,0.70581055,987.5115,973.9695,5.3587785,0.111083984,-0.19335938,0.9890137,999.3435,996.9771,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,258,-0.6557617,-0.21679688,0.77905273,987.5725,973.87787,5.4351144,0.09667969,-0.203125,0.9758301,999.4046,997.05347,994.8244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,260,-0.6262207,-0.15014648,0.77612305,987.603,973.8931,5.4656487,0.075683594,-0.25219727,0.98657227,999.313,997.0687,994.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,262,-0.64697266,-0.13793945,0.8149414,987.64886,973.9695,5.4198475,0.1184082,-0.2548828,0.97094727,999.32825,997.0687,994.6107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,264,-0.66259766,-0.19482422,0.7253418,987.7405,974.07635,5.4503818,0.1237793,-0.21655273,0.9733887,999.38934,997.084,994.58014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,266,-0.6542969,-0.11645508,0.7668457,987.75574,974.0916,5.328244,0.15014648,-0.23852539,0.9567871,999.41986,997.0076,994.6107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,268,-0.65527344,-0.14282227,0.7507324,987.7405,974.0458,5.2519083,0.088134766,-0.21923828,0.9641113,999.41986,997.0687,994.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,270,-0.60595703,-0.16552734,0.7260742,987.75574,974.0458,5.19084,0.14208984,-0.18261719,0.96435547,999.4351,997.084,994.6565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,272,-0.654541,-0.1418457,0.68481445,987.5725,974.1832,5.3129773,0.10131836,-0.18457031,0.9470215,999.35876,997.12976,994.7023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,274,-0.6533203,-0.13696289,0.7519531,987.542,974.1985,5.2824426,0.08105469,-0.2055664,0.9304199,999.313,997.1145,994.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,276,-0.66015625,-0.18139648,0.7294922,987.64886,974.21375,5.2671757,0.095214844,-0.26000977,0.96655273,999.35876,997.2061,994.6565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,278,-0.62597656,-0.111083984,0.7258301,987.58777,974.229,5.221374,0.0546875,-0.24633789,0.9736328,999.2825,997.12976,994.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,281,-0.6425781,-0.08544922,0.7746582,987.52673,974.2901,5.2671757,0.11376953,-0.23071289,0.9719238,999.19086,997.145,994.64124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,282,-0.60180664,-0.1694336,0.70092773,987.542,974.35114,5.2824426,0.109375,-0.23608398,0.9692383,999.1145,997.12976,994.58014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,284,-0.6611328,-0.12792969,0.7331543,987.603,974.2595,5.2671757,0.0925293,-0.19335938,0.9560547,999.05347,997.0687,994.5191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,287,-0.62719727,-0.13378906,0.77319336,987.5725,974.21375,5.2671757,0.07861328,-0.28686523,0.9753418,999.0076,997.03815,994.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,288,-0.63964844,-0.14208984,0.7885742,987.58777,974.30536,5.2519083,0.10888672,-0.18701172,0.96313477,998.9924,997.084,994.4885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,290,-0.6672363,-0.14135742,0.78393555,987.55725,974.30536,5.29771,0.11767578,-0.20043945,0.9387207,998.9313,997.0687,994.47327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,292,-0.6723633,-0.1159668,0.74194336,987.61835,974.2901,5.19084,0.10253906,-0.2097168,0.9458008,998.96185,997.09924,994.53436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
